Date;Speed;Density;Bt;Bz
20191125180921;;;4.71;1.95
20191125180922;;;4.64;1.93
20191125180923;;;4.66;1.93
20191125180924;;;4.67;1.94
20191125180925;;;4.65;1.95
20191125180926;;;4.7;2.01
20191125180927;;;4.73;2.04
20191125180928;;;4.73;2.04
20191125180929;;;4.68;2.05
20191125180930;;;4.66;1.93
20191125180931;;;4.69;2.02
20191125180932;;;4.73;2.05
20191125180933;;;4.76;2.11
20191125180934;;;4.77;2.17
20191125180935;;;4.75;2.15
20191125180936;;;4.75;2.06
20191125180937;;;4.78;2.13
20191125180938;;;4.74;2.14
20191125180939;;;4.76;2.16
20191125180940;;;4.74;2.09
20191125180941;;;4.73;2.11
20191125180942;;;4.74;2.16
20191125180943;;;4.66;2.17
20191125180944;;;4.69;2.19
20191125180945;;;4.71;2.15
20191125180946;;;4.76;2.19
20191125180947;;;4.77;2.28
20191125180948;;;4.78;2.27
20191125180949;;;4.76;2.31
20191125180950;;;4.76;2.27
20191125180951;;;4.71;2.16
20191125180952;;;4.68;2.03
20191125180953;;;4.67;1.92
20191125180954;;;4.67;1.89
20191125180955;;;4.65;1.92
20191125180956;;;4.7;2.09
20191125180957;;;4.72;2.06
20191125180958;;;4.65;1.93
20191125180959;;;4.68;2.0
20191125181000;;;4.71;1.95
20191125181001;;;4.65;1.86
20191125181002;;;4.61;1.88
20191125181003;;;4.62;2.03
20191125181004;;;4.64;2.05
20191125181005;;;4.62;2.09
20191125181006;;;4.69;2.23
20191125181007;;;4.65;2.15
20191125181008;;;4.64;2.11
20191125181009;;;4.7;2.07
20191125181010;;;4.68;1.94
20191125181011;;;4.65;1.94
20191125181012;;;4.66;1.79
20191125181013;;;4.61;1.54
20191125181014;;;4.57;1.43
20191125181015;;;4.59;1.7
20191125181016;;;4.73;1.88
20191125181017;;;4.68;1.94
20191125181018;;;4.77;1.99
20191125181019;;;4.7;1.94
20191125181020;;;4.65;1.98
20191125181021;;;4.65;1.92
20191125181022;;;4.62;1.86
20191125181023;;;4.65;1.84
20191125181024;;;4.65;1.85
20191125181025;;;4.66;1.86
20191125181026;;;4.65;1.91
20191125181027;;;4.66;1.94
20191125181028;;;4.7;1.83
20191125181029;;;4.64;1.8
20191125181030;;;4.63;1.79
20191125181031;;;4.58;1.77
20191125181032;;;4.62;1.71
20191125181033;;;4.67;1.82
20191125181034;;;4.66;1.79
20191125181035;;;4.71;1.79
20191125181036;;;4.68;1.76
20191125181037;;;4.67;1.75
20191125181038;;;4.61;1.61
20191125181039;;;4.56;1.55
20191125181040;;;4.54;1.57
20191125181041;;;4.58;1.57
20191125181042;;;4.54;1.57
20191125181043;;;4.56;1.74
20191125181044;;;4.62;1.72
20191125181045;;;4.6;1.57
20191125181046;;;4.58;1.54
20191125181047;;;4.6;1.67
20191125181048;;;4.62;1.56
20191125181049;;;4.69;1.35
20191125181050;;;4.57;1.22
20191125181051;;;4.49;1.32
20191125181052;;;4.49;1.53
20191125181053;;;4.57;1.74
20191125181054;;;4.63;1.39
20191125181055;;;4.63;1.25
20191125181056;;;4.54;0.67
20191125181057;;;4.3;1.2
20191125181058;;;4.51;2.08
20191125181059;;;4.67;2.36
20191125181100;;;4.66;2.46
20191125181101;;;4.7;2.52
20191125181102;;;4.69;2.55
20191125181103;;;4.69;2.53
20191125181104;;;4.72;2.56
20191125181105;;;4.7;2.54
20191125181106;;;4.7;2.65
20191125181107;;;4.71;2.69
20191125181108;;;4.71;2.7
20191125181109;;;4.67;2.7
20191125181110;;;4.66;2.72
20191125181111;;;4.72;3.07
20191125181112;;;4.82;3.16
20191125181113;;;4.8;2.79
20191125181114;;;4.8;2.84
20191125181115;;;4.82;2.88
20191125181116;;;4.77;2.93
20191125181117;;;4.81;3.03
20191125181118;;;4.87;3.03
20191125181119;;;4.85;3.01
20191125181120;;;4.84;2.98
20191125181121;;;4.8;2.96
20191125181122;;;4.78;2.91
20191125181123;;;4.82;2.94
20191125181124;;;4.83;2.97
20191125181125;;;4.82;3.01
20191125181126;;;4.72;2.98
20191125181127;;;4.77;2.99
20191125181128;;;4.82;3.04
