Date;Speed;Density;Bt;Bz
20190731145954;;;7.23;4.49
20190731145955;;;7.21;4.58
20190731145956;;;7.35;4.58
20190731145957;;;7.38;4.65
20190731145958;;;7.41;4.65
20190731145959;;;7.33;4.71
20190731150000;;;7.07;4.35
20190731150001;;;7.11;3.61
20190731150002;;;7.31;3.47
20190731150003;;;7.29;3.32
20190731150004;;;7.44;3.41
20190731150005;;;7.53;3.51
20190731150006;;;7.62;3.62
20190731150007;;;7.51;3.52
20190731150008;;;7.45;3.59
20190731150009;;;7.42;3.69
20190731150010;;;7.55;3.85
20190731150011;;;7.62;3.9
20190731150012;;;7.59;4.04
20190731150013;;;7.63;4.03
20190731150014;;;7.77;4.06
20190731150015;;;7.73;3.96
20190731150016;;;7.62;3.89
20190731150017;;;7.57;3.78
20190731150018;;;7.94;4.07
20190731150019;;;7.73;3.76
20190731150020;;;7.76;3.91
20190731150021;;;7.81;4.0
20190731150022;;;7.82;3.99
20190731150023;;;7.69;3.99
20190731150024;;;7.81;3.98
20190731150025;;;7.79;3.87
20190731150026;;;7.68;3.96
20190731150027;;;7.75;3.94
20190731150028;;;7.71;3.9
20190731150029;;;7.77;3.83
20190731150030;;;7.72;3.77
20190731150031;;;7.68;3.82
20190731150032;;;7.69;3.85
20190731150033;;;7.7;3.88
20190731150034;;;7.65;3.86
20190731150035;;;7.64;3.8
20190731150036;;;7.63;3.75
20190731150037;;;7.54;3.68
20190731150038;;;7.6;3.69
20190731150039;;;7.66;3.73
20190731150040;;;7.64;3.67
20190731150041;;;7.63;3.68
20190731150042;;;7.71;3.77
20190731150043;;;7.67;3.79
20190731150044;;;7.66;3.82
20190731150045;;;7.66;3.88
20190731150046;;;7.72;3.81
20190731150047;;;7.58;3.67
20190731150048;;;7.58;3.63
20190731150049;;;7.54;3.67
20190731150050;;;7.55;3.65
20190731150051;;;7.56;3.68
20190731150052;;;7.65;3.74
20190731150053;;;7.62;3.7
20190731150054;;;7.62;3.69
20190731150055;;;7.66;3.71
20190731150056;;;7.65;3.67
20190731150057;;;7.66;3.7
20190731150058;;;7.62;3.7
20190731150059;;;7.48;3.64
20190731150100;;;7.34;3.72
20190731150101;;;7.35;3.74
20190731150102;;;7.26;3.69
20190731150103;;;7.23;3.74
20190731150104;;;7.52;3.99
20190731150105;;;7.56;4.01
20190731150106;;;7.52;3.94
20190731150107;;;7.45;3.88
20190731150108;;;7.25;3.79
20190731150109;;;7.2;3.73
20190731150110;;;7.16;3.71
20190731150111;;;7.37;3.94
20190731150112;;;7.3;3.88
20190731150113;;;7.24;3.83
20190731150114;;;7.13;3.82
20190731150115;;;7.21;3.82
20190731150116;;;7.39;3.84
20190731150117;;;7.45;3.85
20190731150118;;;7.38;3.85
20190731150119;;;7.34;3.95
20190731150120;;;7.33;4.01
20190731150121;;;7.39;4.04
20190731150122;;;7.42;4.04
20190731150123;;;7.51;3.91
20190731150124;;;7.55;3.94
20190731150125;;;7.37;3.93
20190731150126;;;7.37;3.92
20190731150127;;;7.35;3.9
20190731150128;;;7.27;3.89
20190731150129;;;7.28;3.91
20190731150130;;;7.25;3.91
20190731150131;;;7.18;3.72
20190731150132;;;7.09;3.61
20190731150133;;;7.01;3.48
20190731150134;;;6.75;3.42
20190731150135;;;6.9;3.68
20190731150136;;;6.75;3.73
20190731150137;;;6.8;3.84
20190731150138;;;6.89;3.9
20190731150139;;;7.01;3.97
20190731150140;;;7.24;4.1
20190731150141;;;7.45;4.24
20190731150142;;;7.8;4.39
20190731150143;;;7.95;4.49
20190731150144;;;7.98;4.54
20190731150145;;;8.0;4.56
20190731150146;;;7.98;4.53
20190731150147;;;7.92;4.45
20190731150148;;;7.98;4.54
20190731150149;;;7.9;4.41
20190731150150;;;7.77;4.34
20190731150151;;;7.9;4.41
20190731150152;;;8.02;4.47
20190731150153;;;7.99;4.51
20190731150154;;;7.97;4.5
20190731150155;;;7.94;4.46
20190731150156;;;7.94;4.45
20190731150157;;;7.93;4.46
20190731150158;;;7.99;4.54
20190731150159;;;8.04;4.59
20190731150200;;;8.01;4.56
20190731150201;;;8.02;4.36
20190731150202;;;7.92;4.23
20190731150203;;;7.91;4.12
20190731150204;;;7.95;4.05
20190731150205;;;7.9;4.01
20190731150206;;;7.88;4.05
20190731150207;;;7.91;4.13
20190731150208;;;7.74;4.03
20190731150209;;;7.83;4.1
20190731150210;;;7.88;4.17
20190731150211;;;7.95;4.23
20190731150212;;;7.82;4.14
20190731150213;;;7.8;4.14
20190731150214;;;7.84;4.13
20190731150215;;;7.99;4.17
20190731150216;;;7.96;4.18
20190731150217;;;7.94;4.17
20190731150218;;;7.95;4.15
20190731150219;;;7.9;4.16
20190731150220;;;7.87;4.23
20190731150221;;;7.87;4.27
20190731150222;;;7.82;4.33
20190731150223;;;7.6;4.25
20190731150224;;;7.56;4.22
20190731150225;;;7.57;4.21
20190731150226;;;7.52;4.11
20190731150227;;;7.81;4.29
20190731150228;;;7.8;4.33
20190731150229;;;7.77;4.31
20190731150230;;;7.72;4.3
20190731150231;;;7.55;4.18
20190731150232;;;7.45;4.13
20190731150233;;;7.5;4.13
20190731150234;;;7.45;4.1
20190731150235;;;7.49;4.18
20190731150236;;;7.55;4.27
20190731150237;;;7.6;4.28
20190731150238;;;7.52;4.15
20190731150239;;;7.49;4.03
20190731150240;;;7.58;4.05
20190731150241;;;7.68;4.0
20190731150242;;;7.64;3.79
20190731150243;;;7.54;3.69
20190731150244;;;7.63;3.79
20190731150245;;;7.62;3.84
20190731150246;;;7.6;3.81
20190731150247;;;7.59;3.83
20190731150248;;;7.38;3.75
20190731150249;;;7.32;3.69
20190731150250;;;7.35;3.6
20190731150251;;;7.74;3.93
20190731150252;;;7.85;4.1
20190731150253;;;7.86;4.24
20190731150254;;;7.88;4.27
20190731150255;;;7.78;4.18
20190731150256;;;7.84;4.2
20190731150257;;;7.84;4.24
20190731150258;;;7.9;4.24
20190731150259;;;7.92;4.25
20190731150300;;;7.81;4.24
20190731150301;;;7.86;4.33
20190731150302;;;7.84;4.27
20190731150303;;;7.83;4.2
20190731150304;;;7.84;4.13
20190731150305;;;7.85;4.13
20190731150306;;;7.86;4.12
20190731150307;;;7.89;4.1
20190731150308;;;7.93;4.09
20190731150309;;;7.92;4.11
20190731150310;;;7.94;4.16
20190731150311;;;7.85;4.14
20190731150312;;;7.86;4.18
20190731150313;;;7.84;4.13
20190731150314;;;7.89;4.14
20190731150315;;;7.88;4.11
20190731150316;;;7.84;4.12
20190731150317;;;7.81;4.11
20190731150318;;;7.85;4.11
20190731150319;;;7.86;4.11
20190731150320;;;7.85;4.09
20190731150321;;;7.83;4.13
20190731150322;;;7.88;4.12
20190731150323;;;7.91;4.12
20190731150324;;;7.93;4.12
20190731150325;;;7.89;4.16
20190731150326;;;7.93;4.22
20190731150327;;;7.96;4.24
20190731150328;;;7.89;4.22
20190731150329;;;7.88;4.2
20190731150330;;;7.87;4.16
20190731150331;;;7.94;4.22
20190731150332;;;8.03;4.24
20190731150333;;;7.99;4.18
20190731150334;;;7.92;4.16
20190731150335;;;7.93;4.13
20190731150336;;;7.92;4.14
20190731150337;;;7.93;4.17
20190731150338;;;7.89;4.25
20190731150339;;;7.81;4.19
20190731150340;;;7.8;4.16
20190731150341;;;7.75;4.06
20190731150342;;;7.7;4.05
20190731150343;;;7.74;4.09
20190731150344;;;7.74;4.07
20190731150345;;;7.84;4.12
20190731150346;;;7.75;4.1
20190731150347;;;7.69;4.07
20190731150348;;;7.7;4.04
20190731150349;;;7.72;4.03
20190731150350;;;7.71;4.06
20190731150351;;;7.68;4.08
20190731150352;;;7.63;4.1
20190731150353;;;7.63;4.08
20190731150354;;;7.6;4.09
20190731150355;;;7.59;4.07
20190731150356;;;7.59;4.12
20190731150357;;;7.7;4.22
20190731150358;;;7.76;4.17
20190731150359;;;7.73;4.12
20190731150400;;;7.77;4.1
20190731150401;;;7.75;4.07
20190731150402;;;7.68;4.02
20190731150403;;;7.71;4.03
20190731150404;;;7.75;4.08
20190731150405;;;7.73;4.06
20190731150406;;;7.73;4.0
20190731150407;;;7.77;4.05
20190731150408;;;7.78;4.07
20190731150409;;;7.81;4.12
20190731150410;;;7.79;4.12
20190731150411;;;7.8;4.13
20190731150412;;;7.82;4.13
20190731150413;;;7.75;4.1
20190731150414;;;7.68;4.04
20190731150415;;;7.54;3.94
20190731150416;;;7.48;3.91
20190731150417;;;7.5;3.95
20190731150418;;;7.53;3.99
20190731150419;;;7.53;3.99
20190731150420;;;7.48;3.95
20190731150421;;;7.45;3.91
20190731150422;;;7.4;3.9
20190731150423;;;7.37;3.88
20190731150424;;;7.41;3.91
20190731150425;;;7.49;3.95
20190731150426;;;7.46;3.94
20190731150427;;;7.41;3.95
20190731150428;;;7.43;4.0
20190731150429;;;7.41;3.97
20190731150430;;;7.41;4.05
20190731150431;;;7.36;4.06
20190731150432;;;7.49;4.09
20190731150433;;;7.62;4.13
20190731150434;;;7.73;4.22
20190731150435;;;7.72;4.16
20190731150436;;;7.75;4.16
20190731150437;;;7.78;4.18
20190731150438;;;7.78;4.18
20190731150439;;;7.73;4.17
20190731150440;;;7.79;4.13
20190731150441;;;7.71;4.13
20190731150442;;;7.71;4.12
20190731150443;;;7.7;4.14
20190731150444;;;7.73;4.19
20190731150445;;;7.68;4.08
20190731150446;;;7.66;4.04
20190731150447;;;7.66;4.07
20190731150448;;;7.7;4.1
20190731150449;;;7.7;4.09
20190731150450;;;7.73;4.08
20190731150451;;;7.7;4.13
20190731150452;;;7.7;4.13
20190731150453;;;7.7;4.12
20190731150454;;;7.65;4.06
20190731150455;;;7.66;4.11
20190731150456;;;7.59;4.11
20190731150457;;;7.54;4.04
20190731150458;;;7.61;4.06
20190731150459;;;7.57;4.06
20190731150500;;;7.63;4.08
20190731150501;;;7.57;4.04
20190731150502;;;7.6;4.09
20190731150503;;;7.61;4.1
20190731150504;;;7.56;4.09
20190731150505;;;7.54;4.08
20190731150506;;;7.48;3.97
20190731150507;;;7.39;3.97
20190731150508;;;7.46;4.01
20190731150509;;;7.52;4.05
20190731150510;;;7.39;3.99
20190731150511;;;7.34;3.97
20190731150512;;;7.32;3.94
20190731150513;;;7.28;3.9
20190731150514;;;7.26;3.9
20190731150515;;;7.28;3.93
20190731150516;;;7.32;3.94
20190731150517;;;7.42;3.93
20190731150518;;;7.36;3.89
20190731150519;;;7.35;3.83
20190731150520;;;7.31;3.78
20190731150521;;;7.35;3.82
20190731150522;;;7.32;3.78
20190731150523;;;7.35;3.77
20190731150524;;;7.31;3.8
20190731150525;;;7.26;3.8
20190731150526;;;7.29;3.74
20190731150527;;;7.3;3.72
20190731150528;;;7.21;3.69
20190731150529;;;7.34;3.75
20190731150530;;;7.44;3.87
20190731150531;;;7.36;3.9
20190731150532;;;7.4;3.98
20190731150533;;;7.42;3.99
20190731150534;;;7.38;3.98
20190731150535;;;7.29;4.1
20190731150536;;;7.35;4.2
20190731150537;;;7.35;4.03
20190731150538;;;7.28;4.03
20190731150539;;;7.36;4.1
20190731150540;;;7.38;4.03
20190731150541;;;7.34;3.98
20190731150542;;;7.4;4.04
20190731150543;;;7.4;4.02
20190731150544;;;7.44;4.11
20190731150545;;;7.57;4.29
20190731150546;;;7.52;4.12
20190731150547;;;7.52;4.06
20190731150548;;;7.49;4.05
20190731150549;;;7.49;4.05
20190731150550;;;7.49;4.04
20190731150551;;;7.4;3.96
20190731150552;;;7.39;4.04
20190731150553;;;7.45;4.11
20190731150554;;;7.44;4.0
20190731150555;;;7.42;3.98
20190731150556;;;7.43;4.03
20190731150557;;;7.43;4.0
20190731150558;;;7.44;4.07
20190731150559;;;7.43;3.95
